operator,name,description,code_block
"ed3a","Lasso Screening","Screens impactful parameters via LassoCV pipeline (PolynomialFeatures + StandardScaler), selecting top k indices (dynamically determined by budget) based on parameter importance.","from sklearn.linear_model import LassoCV; from sklearn.preprocessing import PolynomialFeatures, StandardScaler; from sklearn.pipeline import make_pipeline; D = len(independent_set); poly = PolynomialFeatures(degree=1, include_bias=False); scaler = StandardScaler(); lasso = LassoCV(cv=3, random_state=seed, alphas=np.logspace(-4, 0, 100), max_iter=5000); model = make_pipeline(poly, scaler, lasso); model.fit(X, y); feature_names = poly.get_feature_names_out([f'p{i}' for i in range(D)]); weights = lasso.coef_; param_importance = np.zeros(D); for i in range(D): param_mask = [f'p{i}' in name for name in feature_names]; param_importance[i] = np.sum(np.abs(weights[param_mask])); base = 4; increment = 2; interval = 5; current_used_budget = used_budget; current_knob_count = min(base + (current_used_budget // interval) * increment, D); impactful_indices = np.argsort(param_importance)[-current_knob_count:]"
"ee7a","Probabilistic Reselection of High-Impact Parameters","Generates unique valid candidates by probabilistically reselecting high-impact parameters (80% chance) and keeping non-impactful parameters unchanged.","candidates = []; while len(candidates) < 100: candidate = [random.choice(independent_set[i]) for i in range(D)]; for idx in impactful_indices: if random.random() < 0.8: candidate[idx] = random.choice(independent_set[idx]); candidate_tuple = tuple(candidate); if candidate_tuple not in history_configs: candidates.append(candidate)"
"f1f","Maximum Expected Improvement (EI)","Selects the optimal candidate by calculating Maximum EI using Gaussian Process predictions, with a small epsilon to avoid division by zero and picking the highest EI candidate.","from scipy.stats import norm; X_candidates = np.array([[independent_set[i].index(val) for i, val in enumerate(conf)] for conf in candidates]); mu, std = gp.predict(X_candidates, return_std=True); best_y = np.min(y_current); ei = (best_y - mu) * norm.cdf((best_y - mu) / (std + 1e-9)) + std * norm.pdf((best_y - mu) / (std + 1e-9)); best_idx = np.argmax(ei); next_original = candidates[best_idx]"
"d9a","Population Metropolis-Hastings Acceptance Probability","Probabilistically accepts ConEx offspring solutions (100% for better/zero scores, ratio-based for inferior scores) to balance exploration and exploitation.","current_perf = best_result; new_perf = current_score; if new_perf < current_perf or new_perf == 0: accept_prob = 1.0; else: accept_prob = min(1.0, current_perf / new_perf); if random.random() < accept_prob: confs_accepted.append((current_config, current_score))"
"ea6a","Global Optimum","Selects the global optimal configuration as the donor for crossover operations, leveraging optimal information to generate high-quality offspring.","# Obtain global optimal configuration (updated when better score is found); best_config = similar_config if current_score == best_result else best_config; # Use best_config as donor for crossover"
"eb2c","Probabilistic Mutation","Performs probabilistic mutation at a 0.06 rate, selecting random parameter indices and replacing values with valid alternatives (if available) to generate mutated configurations.","mutation_rate = 0.06; D = len(independent_set); mutated = current_config.copy(); mutate_indices = random.sample(range(D), int(D * mutation_rate)); for idx in mutate_indices: other_values = [v for v in independent_set[idx] if v != mutated[idx]]; if other_values: mutated[idx] = random.choice(other_values); current_config = mutated"
"ec3a","Probabilistic Crossover","Generates child configurations by probabilistically replacing parent parameters with global optimal values (crossover rate=0.5) via random index selection.","crossover_rate = 0.5; D = len(independent_set); child = parent_config.copy(); crossover_indices = random.sample(range(D), int(D * crossover_rate)); for idx in crossover_indices: child[idx] = best_config[idx]; current_config = child"
"b2b","Random Forest","Constructs a 100-tree Random Forest regression model to calculate feature importance and predict configuration performance (with uncertainty via tree prediction variance).","from sklearn.ensemble import RandomForestRegressor; model = RandomForestRegressor(n_estimators=100, random_state=seed, n_jobs=-1, bootstrap=True); X_train = np.array([[independent_set[i].index(val) for i, val in enumerate(config)] for config in xs]); y_train = np.array(results); model.fit(X_train, y_train); feature_importance = model.feature_importances_; y_pred = model.predict(X_candidates); all_preds = np.array([tree.predict(X_candidates) for tree in model.estimators_]); y_std = np.std(all_preds, axis=0)"
"ed2a","Gini Importance","Screens top K impactful parameters (K=min(D-1,8)) using Random Forest Gini importance, sorting and selecting indices with highest importance.","D = len(independent_set); K = min(D-1,8); feature_importance = model.feature_importances_; impactful_indices = np.argsort(feature_importance)[-K:][::-1]; less_impactful_indices = [i for i in range(D) if i not in impactful_indices]"
"ee6a","Dynamic Sampling Times and Hierarchical Candidate Generation","Generates hierarchical candidates by combining impactful (full combinations) and less impactful (dynamic sampling) parameters, ensuring valid and unique configurations.","max_values_per_impactful_param = 10; current_iter = used_budget - initial_samples + 1; exponent = -((current_iter - 20) / 0.5) **2 / (2 * 10**2); C_i = max(int(20 * np.exp(exponent)), 1); impactful_values = []; for idx in impactful_indices: param_values = independent_set[idx]; if len(param_values) > max_values_per_impactful_param: impactful_values.append(random.sample(param_values, max_values_per_impactful_param)); else: impactful_values.append(param_values); impactful_combinations = list(product(*impactful_values)); candidates = []; less_impactful_values = [independent_set[i] for i in less_impactful_indices]; for imp_comb in impactful_combinations[:5]: for _ in range(C_i): less_comb = [random.choice(vals) for vals in less_impactful_values]; candidate = [None] * D; imp_idx, less_idx = 0, 0; for i in range(D): if i in impactful_indices: candidate[i] = imp_comb[imp_idx]; imp_idx += 1; else: candidate[i] = less_comb[less_idx]; less_idx += 1; if all(val in independent_set[i] for i, val in enumerate(candidate)) and candidate not in candidates: candidates.append(candidate)"
"f1e","Maximum Expected Improvement (EI)","Selects the optimal candidate by calculating Maximum EI using Random Forest predictions, picking the highest EI candidate or generating a random config if none are valid.","from scipy.stats import norm; X_candidates = []; valid_candidates = []; for config in candidates: try: X_candidates.append([independent_set[i].index(val) for i, val in enumerate(config)]); valid_candidates.append(config); except ValueError: continue; if len(X_candidates) > 0: y_pred = model.predict(X_candidates); all_preds = np.array([tree.predict(X_candidates) for tree in model.estimators_]); y_std = np.std(all_preds, axis=0); best_y = np.min(y_train); imp = best_y - y_pred; Z = imp / (y_std + 1e-9); ei = imp * norm.cdf(Z) + y_std * norm.pdf(Z); next_generated_config = valid_candidates[np.argmax(ei)]; else: next_generated_config = [random.choice(values) for values in independent_set]"
"d8a","RBS Recursive Bounded Search","Constructs a bounded parameter search space centered on the current best configuration (or full space if none exists), dynamically adjusting the range via an expand factor for recursive search.","expand_factor = 1; best_config = None; while used_budget < budget and consecutive_no_improve < maxlives: if best_config is None: param_ranges = []; param_enum_info = []; for values in independent_set: unique_enums = list(dict.fromkeys(values)); enum_map = {enum: i for i, enum in enumerate(unique_enums)}; numeric_values = [enum_map[enum] for enum in values]; param_enum_info.append((enum_map, unique_enums)); ranges = [[enum] for enum in unique_enums]; param_ranges.append(ranges); else: bounded_space = []; for p_idx, (current_val, param_values) in enumerate(zip(best_config, independent_set)): unique_enums = list(dict.fromkeys(param_values)); enum_map = {enum: i for i, enum in enumerate(unique_enums)}; current_numeric = enum_map[current_val]; other_numerics = [enum_map[s[p_idx]] for s in xs if s[p_idx] in enum_map]; sorted_others = sorted(other_numerics); global_min, global_max = 0, len(unique_enums) - 1; left = global_min if not sorted_others else min(sorted_others); right = global_max if not sorted_others else max(sorted_others); left = max(global_min, left - expand_factor); right = min(global_max, right + expand_factor); candidates = [enum for enum in unique_enums if left <= enum_map[enum] <= right]; candidates = candidates if candidates else unique_enums; bounded_space.append(candidates); param_ranges = []; param_enum_info = []; for values in bounded_space: unique_enums = list(dict.fromkeys(values)); enum_map = {enum: i for i, enum in enumerate(unique_enums)}; numeric_values = [enum_map[enum] for enum in values]; param_enum_info.append((enum_map, unique_enums)); ranges = [[enum] for enum in unique_enums]; param_ranges.append(ranges)"
"ee5a","DDS Divide-and-Diverge Sampling","Generates valid configurations via divide-and-diverge sampling, partitioning parameter spaces into single-enum subspaces and randomly selecting combinations to form candidates.","samples = []; for _ in range(1): sample = []; for p_idx, ranges in enumerate(param_ranges): range_idx = random.randint(0, len(ranges) - 1); current_range = ranges[range_idx]; enum_value = current_range[0]; sample.append(enum_value); samples.append(sample); current_samples = samples; current_config = current_samples[0]"
"b1d","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) (20 optimizer restarts) to predict reduced-dimensional configuration performance and uncertainty.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern; kernel = Matern(nu=2.5); gp = GaussianProcessRegressor(kernel=kernel, n_restarts_optimizer=20); gp.fit(x_selected, y); mu, std = gp.predict(x_candidate, return_std=True)"
"ed1a","Discard D-d Dimensions","Dynamically retains d parameters (based on total dimension D) and discards D-d dimensions, randomly selecting retained indices to reduce search space dimensionality.","d_dim = len(independent_set); if d_dim <= 5: d = d_dim - 1; elif 5 < d_dim <= 20: d = max(5, int(d_dim * 0.6)); else: d = 20; selected_indices = random.sample(range(d_dim), d); dropped_indices = [i for i in range(d_dim) if i not in selected_indices]"
"ee4a","Dropout-Mix Filling","Fills discarded parameter dimensions with 80% current optimal values and 20% random valid values, constructing full-dimensional encoded configurations.","current_best_encoded = encoded_xs[np.argmin(results)]; new_encoded_config = [None] * d_dim; for idx, sel_idx in enumerate(selected_indices): new_encoded_config[sel_idx] = best_encoded_selected[idx]; for drop_idx in dropped_indices: if random.random() < 0.8: new_encoded_config[drop_idx] = current_best_encoded[drop_idx]; else: raw_rand = random.choice(independent_set[drop_idx]); encoder = encoders[drop_idx]; if isinstance(raw_rand, (str, bool)): encoded_rand = encoder[raw_rand]; else: encoded_rand = encoder[raw_rand]; new_encoded_config[drop_idx] = encoded_rand"
"f1d","Maximum Expected Improvement (EI)","Selects the optimal reduced-dimensional candidate by calculating Maximum EI using Gaussian Process predictions, with a small epsilon to avoid division by zero.","from scipy.stats import norm; best_y = np.min(y); imp = best_y - mu; z = imp / (std + 1e-9); ei = imp * norm.cdf(z) + std * norm.pdf(z); best_candidate_idx = np.argmax(ei); best_encoded_selected = candidates_selected[best_candidate_idx]"
"d7a","Cooling Strategy","Implements a non-linear quadratic cooling strategy for Simulated Annealing, decaying temperature with used budget to enhance early exploration and late exploitation.","initial_temperature = 200; final_temperature = 0.01; temperature = initial_temperature * (1 - (used_budget / budget)) ** 2 if budget != 0 else final_temperature"
"ea5a","Metropolis Acceptance Criterion","The core Simulated Annealing acceptance criterion, accepting all better solutions and probabilistically accepting inferior solutions based on current temperature.","neighbor_score = current_score; current_score = current_score; if (neighbor_score < current_score) or (random.random() < math.exp((current_score - neighbor_score) / temperature)): current_generated_config = neighbor_generated_config; current_score = neighbor_score"
"eb3b","Single-Dimensional Neighborhood","Generates a Simulated Annealing neighbor configuration by randomly modifying one parameter dimension of the current configuration with a valid value.","neighbor_generated_config = current_generated_config.copy(); param_index = random.randint(0, len(independent_set) - 1); neighbor_generated_config[param_index] = random.choice(independent_set[param_index])"
"a3a","Particle Swarm","A Particle Swarm Optimization search group with particles (position, velocity, individual/global best), initialized with random positions and zero velocity to collaboratively explore optimal solutions.","num_particles = 10; particles_position = []; particles_similar_position = []; particles_velocity = []; particles_best_position = []; particles_best_similar = []; particles_best_score = []; particle_count = 0; while particle_count < num_particles and used_budget < budget and consecutive_no_improve < maxlives: generated_position = [random.choice(values) for values in independent_set]; ini_consecutive_no_improve = consecutive_no_improve; ini_used_budget = used_budget; used_budget, consecutive_no_improve, history_configs, best_result, current_score, similar_position = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, generated_position); if ini_consecutive_no_improve == consecutive_no_improve - 1 and ini_used_budget == used_budget: continue; particle_count += 1; particles_position.append(generated_position); particles_similar_position.append(similar_position); particles_velocity.append([0] * len(generated_position)); particles_best_position.append(generated_position); particles_best_similar.append(similar_position); particles_best_score.append(current_score); if current_score == best_result: best_config = similar_position"
"d6a","Optimal Particle Swarm Maintenance","Updates each particle's individual best information (if new position performs better) and the global optimal configuration (if new score is best) to maintain swarm quality.","for i in range(num_particles): if used_budget >= budget or consecutive_no_improve >= maxlives: break; # After evaluating new position; if current_score < particles_best_score[i]: particles_best_score[i] = current_score; particles_best_position[i] = new_generated_position; particles_best_similar[i] = new_similar_position; if current_score == best_result: best_config = new_similar_position"
"ee3a","Particle Position Update","Updates particle positions via probabilistic weighting (30% individual best, 20% global best, 50% random) to ensure valid and optimal search directions.","for i in range(num_particles): if used_budget >= budget or consecutive_no_improve >= maxlives: break; new_generated_position = []; for j in range(len(particles_position[i])): if random.random() < 0.3: new_val = particles_best_position[i][j]; elif random.random() < 0.5: new_val = best_config[j]; else: new_val = random.choice(independent_set[j]); new_generated_position.append(new_val); particles_position[i] = new_generated_position; particles_similar_position[i] = new_similar_position"
"ea4a","Better-Performing Search Starting Point","Selects an initial random search starting point and iteratively updates it with better-performing single-dimensional neighbors to drive search toward optima.","# Generate initial starting point; generated_config = [random.choice(values) for values in independent_set]; used_budget, consecutive_no_improve, history_configs, best_result, current_score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, generated_config); current_generated_config = generated_config; if neighbor_score < current_score: current_generated_config = neighbor_generated_config; current_score = neighbor_score"
"eb3a","Single-Dimensional Neighborhood","Generates a Hill Climbing neighbor configuration by randomly modifying one parameter dimension of the current configuration with a valid value.","neighbor_generated_config = current_generated_config.copy(); param_index = random.randint(0, len(neighbor_generated_config) - 1); neighbor_generated_config[param_index] = random.choice(independent_set[param_index])"
"d5a","Population Retain All Offspring","Retains all valid crossover/mutation offspring to form the next generation, truncating to fixed population size to maintain stable search scale.","next_generation.extend([child1, child2]); population = next_generation[:population_size]"
"ea3a","Fitness Roulette Selection","Selects crossover parents via fitness roulette wheel sampling (fitness = reciprocal of score), with normalized probabilities to ensure valid selection.","fitness_values = [1 / max(score, 1e-10) for score in fitness_scores]; total_fitness = sum(fitness_values); selection_probs = [f / total_fitness for f in fitness_values] if total_fitness > 0 else [1 / len(fitness_values)] * len(fitness_values); selection_probs[-1] = 1.0 - sum(selection_probs[:-1]); indices = np.arange(len(new_population)); selected_indices = np.random.choice(indices, size=population_size, p=selection_probs); selected = [new_population[i] for i in selected_indices]"
"eb2b","Probabilistic Mutation","Performs probabilistic mutation on next-generation individuals at a 0.3 rate, replacing parameter values with random valid options to introduce diversity.","mutation_rate = 0.3; for config in next_generation: for i in range(len(config)): if random.random() < mutation_rate: config[i] = random.choice(independent_set[i])"
"ec2b","Single-Point Crossover","Generates two child individuals from parent pairs via single-point crossover, fusing their configuration segments and adding to the next generation.","for i in range(0, population_size, 2): if i + 1 >= population_size: next_generation.append(selected[i]); break; parent1, parent2 = selected[i], selected[i + 1]; crossover_point = random.randint(1, len(independent_set) - 1); child1 = parent1[:crossover_point] + parent2[crossover_point:]; child2 = parent2[:crossover_point] + parent1[crossover_point:]; next_generation.extend([child1, child2])"
"d4a","Population Remove Worst Individuals","Maintains fixed population size by removing the worst-performing individual (maximum score) after adding new candidates, along with its similar individual record.","population.append(generated_config); similar_population.append(similar_config); if len(population) > population_size: pop_scores = [history_configs[tuple(ind)] for ind in similar_population]; worst_idx = np.argmax(pop_scores); population.pop(worst_idx); similar_population.pop(worst_idx)"
"ea2a","Random Selection from High-Performance Individuals","Selects parents randomly from the top 50% high-performance population individuals (sorted by score) for subsequent mutation.","population_scores = []; for ind in similar_population: ind_tuple = tuple(ind); population_scores.append(history_configs[ind_tuple]); parents_indices = np.argsort(population_scores)[:int(population_size / 2)]; parents = [population[i] for i in parents_indices]; parent = random.choice(parents)"
"eb2a","Probabilistic Mutation","Generates child individuals from parents via probabilistic mutation at a 0.2 rate, retaining parent values or replacing with random valid options to form offspring.","child = []; mutation_prob = 0.2; for i, value in enumerate(parent): if random.random() < mutation_prob: child.append(random.choice(independent_set[i])); else: child.append(value); generated_config = child"
"d3a","Population Update When Superior to Parent","Updates DE population individuals with trial individuals only if trials perform better (lower score), along with corresponding similar records and scores.","current_score = init_scores[i]; if trial_score < current_score: population[i] = generated_trial; similar_population[i] = similar_trial; init_scores[i] = trial_score"
"ea1a","Individual and Variant","Selects target individuals sequentially from the DE population as the basis for mutation/crossover, while retrieving parameter dimension information from the independent set.","for i in range(pop_size): target_individual = population[i]; n_params = len(population[i]); independent_set_dim_vals = independent_set"
"eb1a","Full-dimensional variation","Generates DE mutant individuals by replacing each parent parameter with a valid alternative (if available), ensuring mutants differ from parents while complying with constraints.","mutant = []; for j in range(len(population[i])): possible_values = [v for v in independent_set[j] if v != population[i][j]]; if possible_values: mutant_val = random.choice(possible_values); else: mutant_val = population[i][j]; mutant.append(mutant_val)"
"ec1a","Binomial Crossover","Generates DE trial individuals via binomial crossover (CR=0.7), fusing mutant and parent values with a mandatory mutant dimension to ensure variation.","CR = 0.7; generated_trial = []; for j in range(len(population[i])): if random.random() < CR or j == random.randint(0, len(population[i]) - 1): generated_trial.append(mutant[j]); else: generated_trial.append(population[i][j])"
"b1c","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) and WhiteKernel, training on full or sampled data (for large high-dimensional data) to predict performance and uncertainty.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern, WhiteKernel; from sklearn.model_selection import train_test_split; kernel = Matern(nu=2.5, length_scale_bounds=(1e-3, 1e3)) + WhiteKernel(noise_level_bounds=(1e-10, 1e1)); gp = GaussianProcessRegressor(kernel=kernel, n_restarts_optimizer=5); if len(X) > 20 and n_params > 10: _, X_sampled, _, y_sampled = train_test_split(X_encoded, y, test_size=0.7, random_state=seed); gp.fit(X_sampled, y_sampled); else: gp.fit(X_encoded, y); mu, std = gp.predict(X_encoded_inner, return_std=True)"
"f1c","Maximum Expected Improvement (EI)","Selects the optimal candidate by calculating Maximum EI (xi=0.01) using Gaussian Process predictions, handling zero standard deviation and picking the highest EI candidate.","xi = 0.01; X_encoded_inner = encoder.transform(X_inner); mu, std = gp_inner.predict(X_encoded_inner, return_std=True); mu_sample_opt = np.min(y_sample_inner); imp = mu - mu_sample_opt - xi; with np.errstate(divide='ignore'): Z = imp / std; ei = imp * norm.cdf(Z) + std * norm.pdf(Z); ei[std == 0.0] = 0.0; next_index = np.argmax(ei); current_candidate = candidates[next_index]"
"a1a","Pheromone Matrix","The core Ant Colony Optimization data structure, storing pheromone concentrations for each parameter-dimension value, initialized uniformly to 1.0.","pheromone_matrix = [[1.0 for _ in values] for values in independent_set]"
"d1a","Pheromone Volatilization and Addition","Balances ACO exploration (pheromone volatilization via 1-ρ) and exploitation (pheromone addition via Q/score) to guide optimal solution search.","for i in range(len(pheromone_matrix)): for j in range(len(pheromone_matrix[i])): pheromone_matrix[i][j] *= (1 - rho) for k in range(len(ant_solutions)): if ant_solutions[k][i] == independent_set[i][j]: score = ant_scores[k] if ant_scores[k] != 0 else 1e-10 pheromone_matrix[i][j] += Q / score"
"ee1a","Attraction Probability in Pheromone Matrix","Calculates ACO ant selection probabilities for parameter values, proportional to pheromone (α) and heuristic (β) values, then normalized for valid sampling.","for i, values in enumerate(independent_set): probabilities = [] total = 0.0 for j, value in enumerate(values): pheromone = pheromone_matrix[i][j] heuristic = 1.0 prob = (pheromone ** alpha) * (heuristic ** beta) probabilities.append(prob) total += prob probabilities = [p / total for p in probabilities] choice_idx = np.random.choice(len(values), p=probabilities) solution.append(values[choice_idx])"
"a2a","Covariance Matrix","The core CMA-ES data structure, characterizing solution space distribution features to generate new candidate solutions via multivariate normal sampling.","import cma; initial_mean = [0.5] * len(independent_set); initial_sigma = 0.3; es = cma.CMAEvolutionStrategy(initial_mean, initial_sigma, {'seed': seed, 'popsize': 4, 'maxiter': 1000000})"
"d2a","Update Mean Vector Covariance Matrix and Step Size","Iteratively updates CMA-ES core distribution parameters (mean, covariance, step size) based on candidate evaluation results to optimize search.","es.tell(current_valid_sols, current_valid_scores)"
"ee2a","Current Multivariate Normal Distribution Sampling","Generates CMA-ES candidate solutions by sampling from a multivariate normal distribution defined by the maintained mean and covariance matrix.","solutions = es.ask()"
"b1b","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) (10 optimizer restarts) to approximate the objective function and predict performance uncertainty.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern; kernel = Matern (nu=2.5); gp = GaussianProcessRegressor (kernel=kernel, n_restarts_optimizer=10, random_state=seed); gp.fit (X, y); mu, std = gp.predict (X_candidate, return_std=True)"
"ed5a","Gini Importance After Sobol Sampling","Reduces search space dimensionality by first sampling via Sobol sequence, then selecting top Random Forest Gini importance parameters (per retention ratio).","from sklearn.ensemble import RandomForestRegressor; from scipy.stats.qmc import Sobol; sampler = Sobol (d=len (significant_params), scramble=True, seed=seed); samples = sampler.random_base2 (m=int (np.ceil (np.log2 (num_samples))))[:num_samples]; rf = RandomForestRegressor (n_estimators=100, random_state=seed); rf.fit (X, y); importances = rf.feature_importances_; num_keep = max (5, int (len (significant_params) * sa_alpha)); significant_indices = np.argsort (importances)[-num_keep:]; significant_params = [significant_params [i] for i in significant_indices]"
"f1b","Maximum Expected Improvement (EI)","Selects the optimal candidate by calculating Maximum EI using Gaussian Process predictions, with a small epsilon to avoid division by zero and picking the highest EI candidate.","from scipy.stats import norm; best_y = np.min (y) if len (y) > 0 else float ('inf'); ei = (best_y - mu) * norm.cdf ((best_y - mu) / (std + 1e-9)) + std * norm.pdf ((best_y - mu) / (std + 1e-9)); best_idx = np.argmax (ei); next_generated_config = generated_candidates [best_idx]"
"ee11a","Large-Scale Initial Population Construction","Constructs an initial population by selecting up to 10000 shuffled, deduplicated samples from the full set to form valid candidate solutions.","samples = file.all_set[:10000] if len(file.all_set) > 10000 else file.all_set;random.shuffle(samples);initial_pop = [];for sample in samples:; config = sample.decision; config_tuple = tuple(config); if config_tuple not in [tuple(c) for c in initial_pop]:; initial_pop.append(config);enough = max(1, int(np.sqrt(len(initial_pop))))"
"f4a","Recursively Retain High-Quality Subclusters","Recursively divides candidate sets into subclusters via east-west pole projection, retains high-quality subclusters, and continues until size/budget constraints are met.","def sway_recursive(items, budget_rem):; if len(items) < enough or budget_rem <= 0:; return items, 0; rand_item = get_valid_rep(items); rand_int = convert_to_int(rand_item); east = max(items, key=lambda x: euclidean(convert_to_int(x), rand_int)); east_int = convert_to_int(east); west = max(items, key=lambda x: euclidean(convert_to_int(x), east_int)); c = euclidean(east_int, convert_to_int(west)); if c == 0:; mid = len(items) // 2; west_items, east_items = items[:mid], items[mid:]; else:; projections = [(item, (euclidean(convert_to_int(item), convert_to_int(west))**2 + c**2 - euclidean(convert_to_int(item), east_int)**2)/(2*c)) for item in items]; projections.sort(key=lambda x: x[1]); mid = len(projections) // 2; west_items, east_items = [p[0] for p in projections[:mid]], [p[0] for p in projections[mid:]]; a_reps, b_reps, total_cost = west, east, 0; a_better_flag = False; if budget_rem >= 2:; a_better_flag, cost = better(a_reps, b_reps, budget_rem); total_cost += cost; budget_rem -= cost; keep_west, keep_east = True, True; if a_better_flag:; keep_east = False; else:; if budget_rem >= 2:; b_better_flag, cost = better(b_reps, a_reps, budget_rem); total_cost += cost; budget_rem -= cost; if b_better_flag:; keep_west = False; result = []; if keep_west and budget_rem > 0:; west_res, cost = sway_recursive(west_items, budget_rem); result.extend(west_res); total_cost += cost; budget_rem -= cost; if keep_east and budget_rem > 0:; east_res, cost = sway_recursive(east_items, budget_rem); result.extend(east_res); total_cost += cost; budget_rem -= cost; return result, total_cost"
"a4a","Rules","The core data carrier for feature-performance correlations, storing rules extracted from Random Forests and used for constrained sampling and high-quality candidate screening.","Rule = []; valid_rules = []; ACEs = []; def inner_in_rule (x, rule, f_names): for single in rule: k = f_names.index (single [0]); if single [2] == 'L': if float (x [k]) <= float (single [1]): continue; else: return False; else: if float (x [k]) > float (single [1]): continue; else: return False; return True"
"b2a","Random Forest","Acts as a surrogate model to fit configuration-performance mappings via ensemble decision trees, providing predictive support for expected improvement and candidate generation.","from sklearn.ensemble import RandomForestRegressor; def inner_model (train_independent, train_dependent): model = RandomForestRegressor (); model.fit (train_independent, train_dependent); return model; rf_model = RandomForestRegressor (n_estimators=10, min_samples_leaf=int (10 + sample_plus)); rf_model.fit (training_indep, training_dep)"
"d10a","Rule Generation and High-Quality Rule Screening","Extracts rules from Random Forest decision trees, calculates rule ACE via causal inference (FCI+DirectLiNGAM), and screens valid negative-ACE rules for constrained sampling.","from causallearn.search.ConstraintBased.FCI import fci; import lingam; def inner_get_tree_paths (tree, f_names): paths = []; stack = [(0, [])]; while stack: node_id, path = stack.pop (); feature_index = tree.tree_.feature [node_id]; threshold = tree.tree_.threshold [node_id]; if feature_index != -2: f_name = f_names [feature_index]; left_path = path + [(f_name, threshold, 'L')]; stack.append ((tree.tree_.children_left [node_id], left_path)); right_path = path + [(f_name, threshold, 'R')]; stack.append ((tree.tree_.children_right [node_id], right_path)); else: paths.append (path); return paths; def inner_get_adjacency_matrix (graph_obj): nodes = graph_obj.get_nodes (); node_count = len (nodes); adjacency_matrix = np.zeros ((node_count, node_count), dtype=int); node_index = {node: idx for idx, node in enumerate (nodes)}; for edge in graph_obj.get_graph_edges (): idx1 = node_index [edge.node1]; idx2 = node_index [edge.node2]; adjacency_matrix [idx1, idx2] = 1; return adjacency_matrix; g, _ = fci (data, show_progress=False, verbose=False); adjacency_matrix = inner_get_adjacency_matrix (g).T; prior_knowledge = adjacency_matrix; prior_knowledge [-1, :-1] = 1; prior_knowledge [-1, -1] = -1; lingam_model = lingam.DirectLiNGAM (prior_knowledge=prior_knowledge); lingam_model.fit (data); for k in range (len (labels) - 1): ACE = lingam_model.estimate_total_effect (data, k, len (labels) - 1); if ACE: valid_rules.append (all_path [k]); ACEs.append (ACE)"
"ee8a","Rule-Constrained Sampling","Generates candidate solutions conforming to screened valid rules (or random sampling if none exist), with batch generation and prediction-based screening to improve quality.","from itertools import product; def cold_x_generator (): return [random.choice (every_column [index]) for index in range (len (every_column))]; def dist_x_generator (): current_x = list (random.choice (new_list)); for idx in range (len (current_x)): if current_x [idx] == '': current_x [idx] = random.choice (every_column [idx]); return current_x; for index in range (len (valid_rules)): if ACEs [index] > 0: continue; results_rule = [[] for _ in range (len (header))]; single_rule = valid_rules [index]; for i, column_values, single_feature in zip (range (len (header)), every_column, header): tmp_left, tmp_right = [], []; for single_component in single_rule: if single_component [0] == single_feature: if single_component [2] == 'L': tmp_left.append (single_component [1]); else: tmp_right.append (single_component [1]); if tmp_left and tmp_right: results_rule [i] = [x for x in column_values if max (tmp_right) <= x <= min (tmp_left)]; elif tmp_left: results_rule [i] = [x for x in column_values if x <= min (tmp_left)]; elif tmp_right: results_rule [i] = [x for x in column_values if max (tmp_right) <= x]; for i in range (len (results_rule)): if not results_rule [i]: results_rule [i] = ['*']; elif len (results_rule [i]) > 10: results_rule [i] = random.sample (results_rule [i], 10); new_list = list (product (*results_rule))"
"f1a","Maximum Expected Improvement (EI)","Calculates candidate EI values (combining predicted mean/standard deviation) to measure improvement over current optima, selecting the top valid candidate for evaluation.","from scipy.stats import norm; def _inner_get_ei (pred, eta): def calculate_f (): z = (eta - m) /s; return (eta - m) * norm.cdf (z) + s * norm.pdf (z); pred_arr = np.array (pred).transpose (1, 0); m = np.mean (pred_arr, axis=1); s = np.std (pred_arr, axis=1); if np.any (s == 0.0): s_copy = np.copy (s); s [s_copy == 0.0] = 1.0; f = calculate_f (); f [s_copy == 0.0] = 0.0; else: f = calculate_f (); return f; value = _inner_get_ei (pred, result); merged_predicted_objectives = [[i, a] for a, i in zip (value, candidates)]; merged_predicted_objectives = sorted (merged_predicted_objectives, key=lambda x: x [1], reverse=True); best_solution = None; for x in merged_predicted_objectives: if x [0] not in training_indep: best_solution = x [0]; break"
"b3a","Decision Tree","Constructs a Decision Tree Regressor (no depth limit, fixed seed) as a surrogate model, trained on indexed historical configuration data to predict candidate performance.","from sklearn.tree import DecisionTreeRegressor; cart = DecisionTreeRegressor(max_depth=None, random_state=seed); cart.fit(X, y)"
